Breed,Class Name,Entries
Dachshund (Wire-Haired),Class 1465.  For Working Gundogs - Best Dog Dog,12
Dachshund (Wire-Haired),Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Dachshund (Wire-Haired),Class 1467.  For Gamekeepers,2
Dachshund (Wire-Haired),Class 1468.  For Working Gundogs - Best Dog Dog,5
Dachshund (Wire-Haired),Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Dachshund (Wire-Haired),Class 1470.  For Gamekeepers,7
Dachshund (Wire-Haired),Class 1471.  For Working Gundogs - Best Dog Dog,11
Dachshund (Wire-Haired),Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Dachshund (Wire-Haired),Class 1473.  For Gamekeepers,12
Dachshund (Wire-Haired),Class 1474.  For Working Gundogs - Best Dog Dog,48
Dachshund (Wire-Haired),Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Dachshund (Wire-Haired),Class 1476.  For Gamekeepers,11
Dachshund (Wire-Haired),Class 1477.  For Working Gundogs - Best Dog Dog,21
Dachshund (Wire-Haired),Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Dachshund (Wire-Haired),Class 1479.  Gamekeeper Team,29
Dachshund (Wire-Haired),Class 1480.  Class restricted to Retired Gamekeepers,5
Dachshund (Wire-Haired),Class 1481.  Working Gundog Team,45
Dachshund (Wire-Haired),Class 1482.  Best Young Handler under 14 years,15
Dachshund (Wire-Haired),Class 1483.  Best Young Handler 14-18 years,2
Dachshund (Wire-Haired),Class 2984.  Veteran Dog,4
Dachshund (Wire-Haired),Class 2985.  Minor Puppy Dog,3
Dachshund (Wire-Haired),Class 2986.  Puppy Dog,6
Dachshund (Wire-Haired),Class 2987.  Junior Dog,6
Dachshund (Wire-Haired),Class 2988.  Yearling Dog,5
Dachshund (Wire-Haired),Class 2989.  Post Graduate Dog,7
Dachshund (Wire-Haired),Class 2990.  Limit Dog,14
Dachshund (Wire-Haired),Class 2991.  Open Dog,13
Dachshund (Wire-Haired),Class 2992.  Good Citizen Dog Scheme Dog,2
Dachshund (Wire-Haired),Class 2993.  Veteran Bitch,3
Dachshund (Wire-Haired),Class 2994.  Minor Puppy Bitch,2
Dachshund (Wire-Haired),Class 2995.  Puppy Bitch,6
Dachshund (Wire-Haired),Class 2996.  Junior Bitch,11
Dachshund (Wire-Haired),Class 2997.  Yearling Bitch,9
Dachshund (Wire-Haired),Class 2998.  Post Graduate Bitch,8
Dachshund (Wire-Haired),Class 2999.  Limit Bitch,17
Dachshund (Wire-Haired),Class 3000.  Open Bitch,14
Dachshund (Wire-Haired),Class 3001.  Good Citizen Dog Scheme Bitch,1
Dachshund (Min Wire-Haired),Class 1464.  For Gamekeepers,10
Dachshund (Min Wire-Haired),Class 1465.  For Working Gundogs - Best Dog Dog,12
Dachshund (Min Wire-Haired),Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Dachshund (Min Wire-Haired),Class 1467.  For Gamekeepers,2
Dachshund (Min Wire-Haired),Class 1468.  For Working Gundogs - Best Dog Dog,5
Dachshund (Min Wire-Haired),Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Dachshund (Min Wire-Haired),Class 1470.  For Gamekeepers,7
Dachshund (Min Wire-Haired),Class 1471.  For Working Gundogs - Best Dog Dog,11
Dachshund (Min Wire-Haired),Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Dachshund (Min Wire-Haired),Class 1473.  For Gamekeepers,12
Dachshund (Min Wire-Haired),Class 1474.  For Working Gundogs - Best Dog Dog,48
Dachshund (Min Wire-Haired),Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Dachshund (Min Wire-Haired),Class 1476.  For Gamekeepers,11
Dachshund (Min Wire-Haired),Class 1477.  For Working Gundogs - Best Dog Dog,21
Dachshund (Min Wire-Haired),Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Dachshund (Min Wire-Haired),Class 1479.  Gamekeeper Team,29
Dachshund (Min Wire-Haired),Class 1480.  Class restricted to Retired Gamekeepers,5
Dachshund (Min Wire-Haired),Class 1481.  Working Gundog Team,45
Dachshund (Min Wire-Haired),Class 1482.  Best Young Handler under 14 years,15
Dachshund (Min Wire-Haired),Class 1483.  Best Young Handler 14-18 years,2
Dachshund (Min Wire-Haired),Class 3002.  Veteran Dog,2
Dachshund (Min Wire-Haired),Class 3003.  Minor Puppy Dog,2
Dachshund (Min Wire-Haired),Class 3004.  Puppy Dog,4
Dachshund (Min Wire-Haired),Class 3005.  Junior Dog,5
Dachshund (Min Wire-Haired),Class 3006.  Yearling Dog,8
Dachshund (Min Wire-Haired),Class 3007.  Post Graduate Dog,8
Dachshund (Min Wire-Haired),Class 3008.  Limit Dog,14
Dachshund (Min Wire-Haired),Class 3009.  Open Dog,12
Dachshund (Min Wire-Haired),Class 3010.  Good Citizen Dog Scheme Dog,3
Dachshund (Min Wire-Haired),Class 3011.  Veteran Bitch,6
Dachshund (Min Wire-Haired),Class 3012.  Minor Puppy Bitch,2
Dachshund (Min Wire-Haired),Class 3013.  Puppy Bitch,10
Dachshund (Min Wire-Haired),Class 3014.  Junior Bitch,8
Dachshund (Min Wire-Haired),Class 3015.  Yearling Bitch,7
Dachshund (Min Wire-Haired),Class 3016.  Post Graduate Bitch,10
Dachshund (Min Wire-Haired),Class 3017.  Limit Bitch,16
Dachshund (Min Wire-Haired),Class 3018.  Open Bitch,15
Dachshund (Min Wire-Haired),Class 3019.  Good Citizen Dog Scheme Bitch,3
Deerhound,Class 1464.  For Gamekeepers,10
Deerhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Deerhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Deerhound,Class 1467.  For Gamekeepers,2
Deerhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Deerhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Deerhound,Class 1470.  For Gamekeepers,7
Deerhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Deerhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Deerhound,Class 1473.  For Gamekeepers,12
Deerhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Deerhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Deerhound,Class 1476.  For Gamekeepers,11
Deerhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Deerhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Deerhound,Class 1479.  Gamekeeper Team,29
Deerhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Deerhound,Class 1481.  Working Gundog Team,45
Deerhound,Class 1482.  Best Young Handler under 14 years,15
Deerhound,Class 1483.  Best Young Handler 14-18 years,2
Deerhound,Class 3020.  Veteran Dog,1
Deerhound,Class 3021.  Puppy Dog,1
Deerhound,Class 3022.  Junior Dog,4
Deerhound,Class 3023.  Post Graduate Dog,7
Deerhound,Class 3024.  Limit Dog,11
Deerhound,Class 3025.  Open Dog,9
Deerhound,Class 3026.  Good Citizen Dog Scheme Dog,0
Deerhound,Class 3027.  Veteran Bitch,6
Deerhound,Class 3028.  Puppy Bitch,4
Deerhound,Class 3029.  Junior Bitch,5
Deerhound,Class 3030.  Post Graduate Bitch,13
Deerhound,Class 3031.  Limit Bitch,15
Deerhound,Class 3032.  Open Bitch,14
Deerhound,Class 3033.  Good Citizen Dog Scheme Bitch,2
Finnish Spitz,Class 1464.  For Gamekeepers,10
Finnish Spitz,Class 1465.  For Working Gundogs - Best Dog Dog,12
Finnish Spitz,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Finnish Spitz,Class 1467.  For Gamekeepers,2
Finnish Spitz,Class 1468.  For Working Gundogs - Best Dog Dog,5
Finnish Spitz,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Finnish Spitz,Class 1470.  For Gamekeepers,7
Finnish Spitz,Class 1471.  For Working Gundogs - Best Dog Dog,11
Finnish Spitz,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Finnish Spitz,Class 1473.  For Gamekeepers,12
Finnish Spitz,Class 1474.  For Working Gundogs - Best Dog Dog,48
Finnish Spitz,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Finnish Spitz,Class 1476.  For Gamekeepers,11
Finnish Spitz,Class 1477.  For Working Gundogs - Best Dog Dog,21
Finnish Spitz,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Finnish Spitz,Class 1479.  Gamekeeper Team,29
Finnish Spitz,Class 1480.  Class restricted to Retired Gamekeepers,5
Finnish Spitz,Class 1481.  Working Gundog Team,45
Finnish Spitz,Class 1482.  Best Young Handler under 14 years,15
Finnish Spitz,Class 1483.  Best Young Handler 14-18 years,2
Finnish Spitz,Class 3034.  Veteran Dog,0
Finnish Spitz,Class 3035.  Puppy Dog,1
Finnish Spitz,Class 3036.  Junior Dog,0
Finnish Spitz,Class 3037.  Post Graduate Dog,0
Finnish Spitz,Class 3038.  Limit Dog,1
Finnish Spitz,Class 3039.  Open Dog,4
Finnish Spitz,Class 3040.  Good Citizen Dog Scheme Dog,0
Finnish Spitz,Class 3041.  Veteran Bitch,0
Finnish Spitz,Class 3042.  Puppy Bitch,1
Finnish Spitz,Class 3043.  Junior Bitch,0
Finnish Spitz,Class 3044.  Post Graduate Bitch,0
Finnish Spitz,Class 3045.  Limit Bitch,1
Finnish Spitz,Class 3046.  Open Bitch,2
Finnish Spitz,Class 3047.  Good Citizen Dog Scheme Bitch,0
Foxhound,Class 1464.  For Gamekeepers,10
Foxhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Foxhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Foxhound,Class 1467.  For Gamekeepers,2
Foxhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Foxhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Foxhound,Class 1470.  For Gamekeepers,7
Foxhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Foxhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Foxhound,Class 1473.  For Gamekeepers,12
Foxhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Foxhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Foxhound,Class 1476.  For Gamekeepers,11
Foxhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Foxhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Foxhound,Class 1479.  Gamekeeper Team,29
Foxhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Foxhound,Class 1481.  Working Gundog Team,45
Foxhound,Class 1482.  Best Young Handler under 14 years,15
Foxhound,Class 1483.  Best Young Handler 14-18 years,2
Foxhound,Class 3048.  Junior Dog,0
Foxhound,Class 3049.  Open Dog,1
Foxhound,Class 3050.  Good Citizen Dog Scheme Dog,1
Foxhound,Class 3051.  Junior Bitch,1
Foxhound,Class 3052.  Open Bitch,2
Foxhound,Class 3053.  Good Citizen Dog Scheme Bitch,0
Greyhound,Class 1464.  For Gamekeepers,10
Greyhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Greyhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Greyhound,Class 1467.  For Gamekeepers,2
Greyhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Greyhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Greyhound,Class 1470.  For Gamekeepers,7
Greyhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Greyhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Greyhound,Class 1473.  For Gamekeepers,12
Greyhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Greyhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Greyhound,Class 1476.  For Gamekeepers,11
Greyhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Greyhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Greyhound,Class 1479.  Gamekeeper Team,29
Greyhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Greyhound,Class 1481.  Working Gundog Team,45
Greyhound,Class 1482.  Best Young Handler under 14 years,15
Greyhound,Class 1483.  Best Young Handler 14-18 years,2
Greyhound,Class 3054.  Veteran Dog,8
Greyhound,Class 3055.  Puppy Dog,0
Greyhound,Class 3056.  Junior Dog,3
Greyhound,Class 3057.  Post Graduate Dog,9
Greyhound,Class 3058.  Limit Dog,2
Greyhound,Class 3059.  Open Dog,12
Greyhound,Class 3060.  Special Racing/Lure Coursing Dog,12
Greyhound,Class 3061.  Good Citizen Dog Scheme Dog,3
Greyhound,Class 3062.  Veteran Bitch,8
Greyhound,Class 3063.  Puppy Bitch,3
Greyhound,Class 3064.  Junior Bitch,4
Greyhound,Class 3065.  Post Graduate Bitch,6
Greyhound,Class 3066.  Limit Bitch,6
Greyhound,Class 3067.  Open Bitch,10
Greyhound,Class 3068.  Special Racing/Lure Coursing Bitch,12
Greyhound,Class 3069.  Good Citizen Dog Scheme Bitch,3
Hamiltonstovare,Class 1464.  For Gamekeepers,10
Hamiltonstovare,Class 1465.  For Working Gundogs - Best Dog Dog,12
Hamiltonstovare,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Hamiltonstovare,Class 1467.  For Gamekeepers,2
Hamiltonstovare,Class 1468.  For Working Gundogs - Best Dog Dog,5
Hamiltonstovare,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Hamiltonstovare,Class 1470.  For Gamekeepers,7
Hamiltonstovare,Class 1471.  For Working Gundogs - Best Dog Dog,11
Hamiltonstovare,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Hamiltonstovare,Class 1473.  For Gamekeepers,12
Hamiltonstovare,Class 1474.  For Working Gundogs - Best Dog Dog,48
Hamiltonstovare,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Hamiltonstovare,Class 1476.  For Gamekeepers,11
Hamiltonstovare,Class 1477.  For Working Gundogs - Best Dog Dog,21
Hamiltonstovare,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Hamiltonstovare,Class 1479.  Gamekeeper Team,29
Hamiltonstovare,Class 1480.  Class restricted to Retired Gamekeepers,5
Hamiltonstovare,Class 1481.  Working Gundog Team,45
Hamiltonstovare,Class 1482.  Best Young Handler under 14 years,15
Hamiltonstovare,Class 1483.  Best Young Handler 14-18 years,2
Hamiltonstovare,Class 3070.  Veteran Dog,2
Hamiltonstovare,Class 3071.  Puppy Dog,0
Hamiltonstovare,Class 3072.  Junior Dog,3
Hamiltonstovare,Class 3073.  Post Graduate Dog,1
Hamiltonstovare,Class 3074.  Open Dog,3
Hamiltonstovare,Class 3075.  Good Citizen Dog Scheme Dog,3
Hamiltonstovare,Class 3076.  Veteran Bitch,1
Hamiltonstovare,Class 3077.  Puppy Bitch,0
Hamiltonstovare,Class 3078.  Junior Bitch,2
Hamiltonstovare,Class 3079.  Post Graduate Bitch,5
Hamiltonstovare,Class 3080.  Open Bitch,3
Hamiltonstovare,Class 3081.  Good Citizen Dog Scheme Bitch,2
Harrier,Class 1464.  For Gamekeepers,10
Harrier,Class 1465.  For Working Gundogs - Best Dog Dog,12
Harrier,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Harrier,Class 1467.  For Gamekeepers,2
Harrier,Class 1468.  For Working Gundogs - Best Dog Dog,5
Harrier,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Harrier,Class 1470.  For Gamekeepers,7
Harrier,Class 1471.  For Working Gundogs - Best Dog Dog,11
Harrier,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Harrier,Class 1473.  For Gamekeepers,12
Harrier,Class 1474.  For Working Gundogs - Best Dog Dog,48
Harrier,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Harrier,Class 1476.  For Gamekeepers,11
Harrier,Class 1477.  For Working Gundogs - Best Dog Dog,21
Harrier,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Harrier,Class 1479.  Gamekeeper Team,29
Harrier,Class 1480.  Class restricted to Retired Gamekeepers,5
Harrier,Class 1481.  Working Gundog Team,45
Harrier,Class 1482.  Best Young Handler under 14 years,15
Harrier,Class 1483.  Best Young Handler 14-18 years,2
Harrier,Class 3082.  Puppy Dog,0
Harrier,Class 3083.  Junior Dog,0
Harrier,Class 3084.  Post Graduate Dog,2
Harrier,Class 3085.  Open Dog,3
Harrier,Class 3086.  Good Citizen Dog Scheme Dog,1
Harrier,Class 3087.  Puppy Bitch,0
Harrier,Class 3088.  Junior Bitch,0
Harrier,Class 3089.  Post Graduate Bitch,4
Harrier,Class 3090.  Open Bitch,4
Harrier,Class 3091.  Good Citizen Dog Scheme Bitch,3
Ibizan Hound,Class 1464.  For Gamekeepers,10
Ibizan Hound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Ibizan Hound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Ibizan Hound,Class 1467.  For Gamekeepers,2
Ibizan Hound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Ibizan Hound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Ibizan Hound,Class 1470.  For Gamekeepers,7
Ibizan Hound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Ibizan Hound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Ibizan Hound,Class 1473.  For Gamekeepers,12
Ibizan Hound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Ibizan Hound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Ibizan Hound,Class 1476.  For Gamekeepers,11
Ibizan Hound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Ibizan Hound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Ibizan Hound,Class 1479.  Gamekeeper Team,29
Ibizan Hound,Class 1480.  Class restricted to Retired Gamekeepers,5
Ibizan Hound,Class 1481.  Working Gundog Team,45
Ibizan Hound,Class 1482.  Best Young Handler under 14 years,15
Ibizan Hound,Class 1483.  Best Young Handler 14-18 years,2
Ibizan Hound,Class 3092.  Veteran Dog,1
Ibizan Hound,Class 3093.  Puppy Dog,1
Ibizan Hound,Class 3094.  Junior Dog,0
Ibizan Hound,Class 3095.  Post Graduate Dog,0
Ibizan Hound,Class 3096.  Limit Dog,1
Ibizan Hound,Class 3097.  Open Dog,8
Ibizan Hound,Class 3098.  Good Citizen Dog Scheme Dog,1
Ibizan Hound,Class 3099.  Veteran Bitch,3
Ibizan Hound,Class 3100.  Puppy Bitch,0
Ibizan Hound,Class 3101.  Junior Bitch,1
Ibizan Hound,Class 3102.  Post Graduate Bitch,4
Ibizan Hound,Class 3103.  Limit Bitch,3
Ibizan Hound,Class 3104.  Open Bitch,9
Ibizan Hound,Class 3105.  Good Citizen Dog Scheme Bitch,1
Irish Wolfhound,Class 1464.  For Gamekeepers,10
Irish Wolfhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Irish Wolfhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Irish Wolfhound,Class 1467.  For Gamekeepers,2
Irish Wolfhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Irish Wolfhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Irish Wolfhound,Class 1470.  For Gamekeepers,7
Irish Wolfhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Irish Wolfhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Irish Wolfhound,Class 1473.  For Gamekeepers,12
Irish Wolfhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Irish Wolfhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Irish Wolfhound,Class 1476.  For Gamekeepers,11
Irish Wolfhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Irish Wolfhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Irish Wolfhound,Class 1479.  Gamekeeper Team,29
Irish Wolfhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Irish Wolfhound,Class 1481.  Working Gundog Team,45
Irish Wolfhound,Class 1482.  Best Young Handler under 14 years,15
Irish Wolfhound,Class 1483.  Best Young Handler 14-18 years,2
Irish Wolfhound,Class 3106.  Veteran Dog,4
Irish Wolfhound,Class 3107.  Minor Puppy Dog,0
Irish Wolfhound,Class 3108.  Puppy Dog,4
Irish Wolfhound,Class 3109.  Junior Dog,6
Irish Wolfhound,Class 3110.  Yearling Dog,11
Irish Wolfhound,Class 3111.  Post Graduate Dog,18
Irish Wolfhound,Class 3112.  Limit Dog,7
Irish Wolfhound,Class 3113.  Open Dog,18
Irish Wolfhound,Class 3114.  Good Citizen Dog Scheme Dog,2
Irish Wolfhound,Class 3115.  Veteran Bitch,8
Irish Wolfhound,Class 3116.  Minor Puppy Bitch,0
Irish Wolfhound,Class 3117.  Puppy Bitch,2
Irish Wolfhound,Class 3118.  Junior Bitch,6
Irish Wolfhound,Class 3119.  Yearling Bitch,9
Irish Wolfhound,Class 3120.  Post Graduate Bitch,10
Irish Wolfhound,Class 3121.  Limit Bitch,11
Irish Wolfhound,Class 3122.  Open Bitch,16
Irish Wolfhound,Class 3123.  Good Citizen Dog Scheme Bitch,2
Norwegian Elkhound,Class 1464.  For Gamekeepers,10
Norwegian Elkhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Norwegian Elkhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Norwegian Elkhound,Class 1467.  For Gamekeepers,2
Norwegian Elkhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Norwegian Elkhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Norwegian Elkhound,Class 1470.  For Gamekeepers,7
Norwegian Elkhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Norwegian Elkhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Norwegian Elkhound,Class 1473.  For Gamekeepers,12
Norwegian Elkhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Norwegian Elkhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Norwegian Elkhound,Class 1476.  For Gamekeepers,11
Norwegian Elkhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Norwegian Elkhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Norwegian Elkhound,Class 1479.  Gamekeeper Team,29
Norwegian Elkhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Norwegian Elkhound,Class 1481.  Working Gundog Team,45
Norwegian Elkhound,Class 1482.  Best Young Handler under 14 years,15
Norwegian Elkhound,Class 1483.  Best Young Handler 14-18 years,2
Norwegian Elkhound,Class 3124.  Veteran Dog,4
Norwegian Elkhound,Class 3125.  Puppy Dog,2
Norwegian Elkhound,Class 3126.  Junior Dog,5
Norwegian Elkhound,Class 3127.  Post Graduate Dog,3
Norwegian Elkhound,Class 3128.  Limit Dog,9
Norwegian Elkhound,Class 3129.  Open Dog,5
Norwegian Elkhound,Class 3130.  Good Citizen Dog Scheme Dog,2
Norwegian Elkhound,Class 3131.  Veteran Bitch,5
Norwegian Elkhound,Class 3132.  Puppy Bitch,4
Norwegian Elkhound,Class 3133.  Junior Bitch,4
Norwegian Elkhound,Class 3134.  Post Graduate Bitch,5
Norwegian Elkhound,Class 3135.  Limit Bitch,4
Norwegian Elkhound,Class 3136.  Open Bitch,13
Norwegian Elkhound,Class 3137.  Good Citizen Dog Scheme Bitch,1
Otterhound,Class 1464.  For Gamekeepers,10
Otterhound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Otterhound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Otterhound,Class 1467.  For Gamekeepers,2
Otterhound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Otterhound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Otterhound,Class 1470.  For Gamekeepers,7
Otterhound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Otterhound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Otterhound,Class 1473.  For Gamekeepers,12
Otterhound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Otterhound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Otterhound,Class 1476.  For Gamekeepers,11
Otterhound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Otterhound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Otterhound,Class 1479.  Gamekeeper Team,29
Otterhound,Class 1480.  Class restricted to Retired Gamekeepers,5
Otterhound,Class 1481.  Working Gundog Team,45
Otterhound,Class 1482.  Best Young Handler under 14 years,15
Otterhound,Class 1483.  Best Young Handler 14-18 years,2
Otterhound,Class 3138.  Veteran Dog,0
Otterhound,Class 3139.  Puppy Dog,1
Otterhound,Class 3140.  Junior Dog,2
Otterhound,Class 3141.  Post Graduate Dog,0
Otterhound,Class 3142.  Limit Dog,1
Otterhound,Class 3143.  Open Dog,3
Otterhound,Class 3144.  Good Citizen Dog Scheme Dog,0
Otterhound,Class 3145.  Veteran Bitch,3
Otterhound,Class 3146.  Puppy Bitch,1
Otterhound,Class 3147.  Junior Bitch,2
Otterhound,Class 3148.  Post Graduate Bitch,0
Otterhound,Class 3149.  Limit Bitch,3
Otterhound,Class 3150.  Open Bitch,6
Otterhound,Class 3151.  Good Citizen Dog Scheme Bitch,1
Pharaoh Hound,Class 1464.  For Gamekeepers,10
Pharaoh Hound,Class 1465.  For Working Gundogs - Best Dog Dog,12
Pharaoh Hound,Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Pharaoh Hound,Class 1467.  For Gamekeepers,2
Pharaoh Hound,Class 1468.  For Working Gundogs - Best Dog Dog,5
Pharaoh Hound,Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Pharaoh Hound,Class 1470.  For Gamekeepers,7
Pharaoh Hound,Class 1471.  For Working Gundogs - Best Dog Dog,11
Pharaoh Hound,Class 1472.  For Working Gundogs - Best Bitch Bitch,13
Pharaoh Hound,Class 1473.  For Gamekeepers,12
Pharaoh Hound,Class 1474.  For Working Gundogs - Best Dog Dog,48
Pharaoh Hound,Class 1475.  For Working Gundogs - Best Bitch Bitch,56
Pharaoh Hound,Class 1476.  For Gamekeepers,11
Pharaoh Hound,Class 1477.  For Working Gundogs - Best Dog Dog,21
Pharaoh Hound,Class 1478.  For Working Gundogs - Best Bitch Bitch,30
Pharaoh Hound,Class 1479.  Gamekeeper Team,29
Pharaoh Hound,Class 1480.  Class restricted to Retired Gamekeepers,5
Pharaoh Hound,Class 1481.  Working Gundog Team,45
Pharaoh Hound,Class 1482.  Best Young Handler under 14 years,15
Pharaoh Hound,Class 1483.  Best Young Handler 14-18 years,2
Pharaoh Hound,Class 3152.  Veteran Dog,1
Pharaoh Hound,Class 3153.  Puppy Dog,1
Pharaoh Hound,Class 3154.  Junior Dog,0
Pharaoh Hound,Class 3155.  Post Graduate Dog,0
Pharaoh Hound,Class 3156.  Limit Dog,0
Pharaoh Hound,Class 3157.  Open Dog,6
Pharaoh Hound,Class 3158.  Good Citizen Dog Scheme Dog,0
Pharaoh Hound,Class 3159.  Veteran Bitch,2
Pharaoh Hound,Class 3160.  Puppy Bitch,3
Pharaoh Hound,Class 3161.  Junior Bitch,4
Pharaoh Hound,Class 3162.  Post Graduate Bitch,3
Pharaoh Hound,Class 3163.  Limit Bitch,4
Pharaoh Hound,Class 3164.  Open Bitch,8
Pharaoh Hound,Class 3165.  Good Citizen Dog Scheme Bitch,1
Portuguese Podengo (Warren Hound),Class 1464.  For Gamekeepers,10
Portuguese Podengo (Warren Hound),Class 1465.  For Working Gundogs - Best Dog Dog,12
Portuguese Podengo (Warren Hound),Class 1466.  For Working Gundogs - Best Bitch Bitch,32
Portuguese Podengo (Warren Hound),Class 1467.  For Gamekeepers,2
Portuguese Podengo (Warren Hound),Class 1468.  For Working Gundogs - Best Dog Dog,5
Portuguese Podengo (Warren Hound),Class 1469.  For Working Gundogs - Best Bitch Bitch,2
Portuguese Podengo (Warren Hound),Class 1470.  For Gamekeepers,7
